Actimel. mleko jogurtowe, 88 kcal, 2.7 g, 1.5 g, 16.0 g
Łosoś wędzony, 162 kcal, 21.5 g, 8.4 g, 0.0 g
Łosoś Z rusztu, 283 kcal, 20.7 g, 22.3 g, 0.6 g
Maggi. przyprawa, 17 kcal, 2.7 g, 0.0 g, 1.5 g
Majonez, 714 kcal, 1.3 g, 79.0 g, 2.6 g
Mak, 478 kcal, 20.1 g, 42.9 g, 24.7 g
Makaron berajeczny, 363 kcal, 10.0 g, 1.6 g, 78.5 g
Makaron czterojajeczny, 377 kcal, 12.0 g, 3.4 g, 76.2 g
Makaron dwujajeczny, 373 kcal, 11.5 g, 2.6 g, 77.4 g
Makaron na mleku, 66 kcal, 2.9 g, 2.3 g, 8.5 g
Makowiec. ciasto, 348 kcal, 19.5 g, 40.8 g, 24.3 g
Makrela świeża, 181 kcal, 18.7 g, 11.9 g, 0.0 g
Makrela wędzona, 221 kcal, 20.7 g, 15.5 g, 0.0 g
Makrela. filety Z warzywami, 124 kcal, 12.0 g, 7.3 g, 3.6 g
Makrela. sałatka pikantna, 181 kcal, 10.2 g, 13.2 g, 6.9 g
Maliny, 29 kcal, 1.3 g, 0.3 g, 12.0 g
Mandarynki, 42 kcal, 0.6 g, 0.2 g, 11.2 g
Mango, 73 kcal, 0.5 g, 0.3 g, 17.0 g
Marakuja, 34 kcal, 2.8 g, 0.2 g, 6.2 g
Marchew, 27 kcal, 1.0 g, 0.2 g, 8.7 g
Marchew mrożona, 24 kcal, 0.9 g, 0.2 g, 7.8 g
Marchew Z groszkiem, 64 kcal, 1.7 g, 3.1 g, 10.8 g
Marchew zasmażana, 69 kcal, 1.0 g, 4.8 g, 8.4 g
Margaryna Bona, 442 kcal, 0.0 g, 50.0 g, 0.0 g
Margaryna Flora, 531 kcal, 0.0 g, 60.0 g, 0.0 g
Margaryna Kama, 398 kcal, 0.0 g, 45.0 g, 0.0 g
Margaryna mleczna, 710 kcal, 0.3 g, 80.0 g, 0.4 g
Margaryna Palma, 710 kcal, 0.3 g, 80.0 g, 0.4 g
Margaryna Rama, 621 kcal, 0.1 g, 70.0 g, 0.4 g
Margaryna Słoneczna, 710 kcal, 0.3 g, 80.0 g, 0.4 g
Margaryna Tina, 442 kcal, 0.0 g, 45.0 g, 0.0 g
Margaryna zwykła, 710 kcal, 0.3 g, 80.0 g, 0.4 g
Markizy. ciastka, 483 kcal, 5.6 g, 23.0 g, 64.3 g
Mars. baton, 451 kcal, 3.6 g, 18.2 g, 68.9 g
Masło ekstra, 735 kcal, 0.7 g, 82.5 g, 0.7 g
Masło roślinne Nova, 442 kcal, 0.0 g, 50.0 g, 0.0 g
Masło roślinne zwykłe, 666 kcal, 0.3 g, 75.0 g, 0.4 g
Masło śmietankowe, 659 kcal, 1.1 g, 73.5 g, 1.1 g
Maślanka 0.5, 37 kcal, 3.4 g, 0.5 g, 4.7 g
Mączka ziemniaczana, 339 kcal, 0.6 g, 0.1 g, 83.9 g
Mąka pszenna typ 500, 342 kcal, 9.2 g, 1.2 g, 74.9 g
Mąka pszenna typ 550, 343 kcal, 9.6 g, 1.6 g, 74.1 g
Medaliony Z indyka, 247 kcal, 18.6 g, 17.9 g, 3.4 g
Melon, 36 kcal, 0.9 g, 0.3 g, 8.4 g
Mielonka, 171 kcal, 12.8 g, 11.7 g, 3.7 g
Migdały, 572 kcal, 20.0 g, 52.0 g, 20.5 g
Milky Way. baton, 448 kcal, 3.6 g, 16.2 g, 71.8 g
Mintaj świeży, 73 kcal, 16.6 g, 0.6 g, 0.0 g
Miód pszczeli, 324 kcal, 0.0 g, 0.0 g, 79.5 g
Mizeria ze śmietaną, 34 kcal, 1.0 g, 2.2 g, 2.8 g
Mleko kozie, 68 kcal, 3.2 g, 4.1 g, 4.5 g
Mleko owcze, 107 kcal, 6.0 g, 7.0 g, 5.1 g
Mleko spożywcze 0.5%, 39 kcal, 3.5 g, 0.5 g, 5.1 g
Mleko spożywcze 1.5%, 47 kcal, 3.4 g, 1.5 g, 5.0 g
Mleko spożywcze 2.0%, 51 kcal, 3.4 g, 2.0 g, 4.9 g
Mleko spożywcze 3.2%, 61 kcal, 3.3 g, 3.2 g, 4.8 g
Mleko spożywcze 3.5%, 64 kcal, 3.3 g, 3.5 g, 4.8 g
Mleko W proszku odtł., 360 kcal, 35.7 g, 0.8 g, 51.2 g
Mleko W proszku pełne, 479 kcal, 27.0 g, 24.0 g, 38.7 g
Mleko zagęszczone niesłodzone, 131 kcal, 6.6 g, 7.5 g, 9.4 g
Mleko zagęszczone słodzone, 326 kcal, 7.5 g, 8.0 g, 55.3 g
Monte. deser czekoladowy, 195 kcal, 2.8 g, 13.3 g, 15.9 g
Morela, 47 kcal, 0.9 g, 0.2 g, 11.9 g
Morele suszone, 284 kcal, 5.4 g, 1.2 g, 72.2 g
Morele. dżem niskosł., 157 kcal, 0.4 g, 0.1 g, 38.8 g
Morlinki. parówki, 448 kcal, 3.6 g, 16.2 g, 71.8 g
Morszczuk świeży, 89 kcal, 17.2 g, 2.2 g, 0.0 g
Morwa, 48 kcal, 1.4 g, 0.4 g, 9.8 g
Mus jabłkowy, 127 kcal, 2.2 g, 0.5 g, 28.7 g
Musli Z owocami suszonymi, 325 kcal, 8.4 g, 3.4 g, 72.2 g
Musli Z rodzynkami i orzechami, 375 kcal, 11.5 g, 12.7 g, 62.9 g
Musztarda, 162 kcal, 5.7 g, 6.4 g, 22.0 g
Naleśniki Z kapustą, 147 kcal, 3.2 g, 9.2 g, 15.2 g
Naleśniki Z serem, 242 kcal, 10.1 g, 10.3 g, 27.4 g
Napoleonka. ciastko, 324 kcal, 5.0 g, 16.0 g, 39.8 g
Napój Coca-cola, 42 kcal, 0.0 g, 0.0 g, 10.4 g
Napój Kubuś Multiwitamina, 52 kcal, 0.0 g, 0.0 g, 12.9 g
Napój Mirinda, 52 kcal, 0.0 g, 0.0 g, 12.9 g
Napój mleczny jogurtowy, 82 kcal, 4.0 g, 1.9 g, 12.1 g
Napój mleczny kakaowy, 81 kcal, 3.3 g, 2.1 g, 12.1 g
Napój owocowy gazowany, 42 kcal, 0.0 g, 0.0 g, 10.3 g
Napój Pepsi Cola, 42 kcal, 0.0 g, 0.0 g, 10.4 g
Napój Red Bull, 45 kcal, 0.0 g, 0.0 g, 11.3 g
Napój Sprite, 42 kcal, 0.0 g, 0.0 g, 10.5 g
Nektar owocowy, 63 kcal, 0.2 g, 0.4 g, 14.6 g
Nektarynka, 53 kcal, 0.9 g, 0.2 g, 11.8 g
Nesquik. kakao. proszek, 380 kcal, 3.5 g, 3.0 g, 84.3 g
Nestle Corn Flakes. płatki kukurydziane, 370 kcal, 7.3 g, 0.8 g, 83.3 g
Nestle Lion. baton, 491 kcal, 7.4 g, 22.7 g, 64.1 g
Nóżki wieprzowe, 276 kcal, 23.0 g, 20.4 g, 0.0 g
Nutella. krem czekoladowy, 45 kcal, 0.0 g, 0.0 g, 11.3 g
Ocet Winny, 20 kcal, 0.0 g, 0.0 g, 5.0 g
Ogórek, 13 kcal, 0.7 g, 0.1 g, 2.9 g
Ogórek kwaszony, 11 kcal, 1.0 g, 0.1 g, 1.9 g
Olej kukurydziany, 884 kcal, 0.0 g, 100.0 g, 0.0 g
Olej rzepakOWO-sojowy, 884 kcal, 0.0 g, 100.0 g, 0.0 g
Olej rzepakowy, 884 kcal, 0.0 g, 100.0 g, 0.0 g
Olej słonecznikowy, 884 kcal, 0.0 g, 100.0 g, 0.0 g
Olej sojowy, 884 kcal, 0.0 g, 100.0 g, 0.0 g
Oliwa Z oliwek, 882 kcal, 0.0 g, 99.6 g, 0.2 g
Oliwki, 147 kcal, 1.4 g, 13.9 g, 4.1 g
Oliwki Zielone marynowane, 125 kcal, 1.4 g, 12.7 g, 4.1 g
Omlet biszkoptowy ze szpinakiem, 151 kcal, 6.4 g, 10.4 g, 10.3 g
Orzechy arachidowe, 560 kcal, 25.7 g, 46.1 g, 19.2 g
Orzechy laskowe, 640 kcal, 14.4 g, 63.0 g, 14.9 g
Orzechy pistacjowe, 589 kcal, 20.5 g, 48.5 g, 25.0 g
Orzechy Włoskie, 645 kcal, 16.0 g, 60.3 g, 18.0 g
Ostrygi, 85 kcal, 5.0 g, 5.0 g, 5.0 g
Otręby pszenne, 185 kcal, 16.0 g, 4.6 g, 61.9 g
OZór cielęcy, 106 kcal, 17.1 g, 4.2 g, 0.0 g
OZór wieprzowy, 165 kcal, 16.5 g, 11.1 g, 0.0 g
Paluszki solone, 385 kcal, 9.9 g, 4.9 g, 75.2 g
Papaja, 43 kcal, 0.6 g, 0.1 g, 9.8 g
Papryka czerwona, 28 kcal, 1.3 g, 0.5 g, 6.6 g
Papryka czerW. kons., 30 kcal, 0.8 g, 1.5 g, 5.0 g
Papryka nadZ. mięsem, 160 kcal, 4.4 g, 10.6 g, 13.7 g
Papryka Zielona, 18 kcal, 1.1 g, 0.3 g, 4.6 g
PaprykarZ Szczeciński, 178 kcal, 9.9 g, 11.9 g, 8.6 g
Parówki, 342 kcal, 9.5 g, 34.3 g, 0.0 g
Parówki drobiowe, 259 kcal, 10.8 g, 22.4 g, 4.2 g
Parówki Morlinki, 223 kcal, 12.4 g, 19.1 g, 0.4 g
Pasternak, 80 kcal, 1.2 g, 0.3 g, 18.0 g
Paszteciki drożdż. mięsn., 308 kcal, 8.4 g, 18.4 g, 28.8 g
Pasztet pieczony, 390 kcal, 17.0 g, 31.2 g, 13.5 g
Pasztet podlaski drob., 228 kcal, 6.7 g, 21.1 g, 3.6 g
Pasztet Z mięsa miesz., 361 kcal, 15.0 g, 31.1 g, 6.6 g
Pączki, 376 kcal, 6.0 g, 16.0 g, 52.0 g
Pepsi. napój, 42 kcal, 0.0 g, 0.0 g, 10.4 g,
Pestki dyni, 596 kcal, 29.0 g, 46.7 g, 15.0 g
Pędy bambusa, 34 kcal, 2.6 g, 0.3 g, 5.2 g
Pędy bambusa. kons., 23 kcal, 1.7 g, 0.4 g, 3.2 g
Pieczarka. suszona, 331 kcal, 19.1 g, 2.1 g, 49.3 g
Pieczarka. świeża, 17 kcal, 2.7 g, 0.4 g, 2.6 g
Pieczeń cielęca. duszona, 193 kcal, 20.1 g, 11.8 g, 1.7 g
Pieczeń rzymska, 208 kcal, 14.4 g, 11.4 g, 12.7 g
Pieczeń wołowa duszona, 155 kcal, 15.8 g, 9.5 g, 2.0 g
Pieczywo chrupkie Wasa, 360 kcal, 12.0 g, 2.2 g, 73.0 g
Pieczywo testowe, 305 kcal, 8.1 g, 4.7 g, 58.8 g
Pieczywo tost. graham, 273 kcal, 7.5 g, 4.2 g, 53.8 g
Piernik Z bakaliami, 341 kcal, 5.9 g, 9.8 g, 59.4 g
Pierniki alpejskie, 367 kcal, 4.0 g, 9.7 g, 66.3 g
Pierniki beskidzkie, 338 kcal, 3.5 g, 1.6 g, 77.3 g
Pierogi leniwe, 242 kcal, 14.5 g, 13.9 g, 15.1 g
Pierogi ruskie, 166 kcal, 5.6 g, 5.0 g, 25.7 g
Pierogi Z mięsem, 219 kcal, 12.0 g, 11.6 g, 17.3 g
Pierogi Z serem, 238 kcal, 10.9 g, 9.9 g, 26.8 g
Pierogi Z truskawkami, 240 kcal, 3.8 g, 11.4 g, 32.3 g
Pietruszka. korzeń, 38 kcal, 2.6 g, 0.5 g, 10.5 g
Pietruszka. nać, 41 kcal, 4.4 g, 0.4 g, 9.0 g
Pikling, 215 kcal, 21.8 g, 14.3 g, 0.0 g
PiWO bezalkoholowe, 27 kcal, 0.2 g, 0.0 g, 5.2 g
PiWO ciemne pełne, 42 kcal, 0.4 g, 0.0 g, 4.6 g
PiWOjasne mocne, 64 kcal, 7.0 g, 0.0 g, 5.4 g
PiWOjasne pełne, 49 kcal, 0.5 g, 0.0 g, 3.8 g
Pizza mięsno-Ziołowa, 327 kcal, 16.1 g, 13.4 g, 36.8 g
Pizza Z pieczarkami i cebulą, 289 kcal, 12.0 g, 13.3 g, 32.1 g
Placki Ziemniaczane, 231 kcal, 3.6 g, 14.5 g, 23.6 g
Płastuga. świeża, 86 kcal, 17.1 g, 1.9 g, 0.0 g
Płatki jęczmienne, 355 kcal, 9.8 g, 3.6 g, 79.4 g
Płatki kukurydziane, 363 kcal, 6.9 g, 2.5 g, 83.6 g
Płatki owsiane, 366 kcal, 11.9 g, 7.2 g, 69.3 g
Płatki owsiane na mleku, 63 kcal, 2.7 g, 2.3 g, 8.2 g
Płatki pszenne, 351 kcal, 9.0 g, 3.0 g, 81.0 g
Płatki żytnie, 343 kcal, 6.4 g, 3.2 g, 82.6 g
Polędwica sopocka, 165 kcal, 19.9 g, 9.1 g, 0.9 g
Polędwica wołowa piecz., 168 kcal, 19.7 g, 9.9 g, 2.6 g
Polędwica Z indyka, 105 kcal, 15.8 g, 4.6 g, 0.1 g
Polędwica Z kurczaka, 93 kcal, 20.4 g, 1.2 g, 0.0 g
Pomarańcza, 44 kcal, 0.9 g, 0.2 g, 11.3 g
Pomarańcze. dżem niskosłodzony, 159 kcal, 0.3 g, 0.1 g, 39.2 g
Pomidor, 15 kcal, 0.9 g, 0.2 g, 3.6 g
Popcorn beZ tłuszczu, 397 kcal, 12.0 g, 4.2 g, 77.9 g
Popcorn Z tłuszczem, 518 kcal, 9.0 g, 28.1 g, 57.1 g
Por, 24 kcal, 2.2 g, 0.3 g, 5.7 g
Porzeczki białe, 33 kcal, 1.0 g, 0.2 g, 13.1 g
Porzeczki czarne, 35 kcal, 1.3 g, 0.2 g, 14.9 g
Porzeczki czerwone, 31 kcal, 1.1 g, 0.2 g, 13.8 g
Potrawka Z kurczaka, 148 kcal, 13.2 g, 9.0 g, 4.7 g
Poziomki, 33 kcal, 0.8 g, 0.5 g, 8.3 g
Precelki, 385 kcal, 9.1 g, 3.5 g, 79.5 g
Przyprawa Maggi, 17 kcal, 2.7 g, 0.0 g, 58.4 g
Pstrąg strumieniowy, 97 kcal, 19.2 g, 2.1 g, 0.0 g
Pstrąg tęczowy, 160 kcal, 18.9 g, 9.6 g, 0.0 g
Ptysie Z bitą śmietaną, 346 kcal, 5.4 g, 25.0 g, 25.8 g
Pulpety mielone, 223 kcal, 18.7 g, 11.1 g, 13.4 g
Pumpernikiel, 252 kcal, 5.8 g, 2.0 g, 58.3 g
Pyzy, 210 kcal, 3.7 g, 6.2 g, 37.4 g
Pyzy Z mięsem, 292 kcal, 7.8 g, 14.0 g, 36.2 g
Rabarbar, 9 kcal, 0.5 g, 0.1 g, 4.6 g
Risotto Z mięsem, 229 kcal, 7.4 g, 11.8 g, 24.2 g
Risotto Z mięsem i warzywami, 185 kcal, 6.6 g, 10.0 g, 18.3 g
Rodzynki suszone, 277 kcal, 2.3 g, 0.5 g, 71.2 g
Rolada biszkoptowa, 304 kcal, 6.9 g, 5.4 g, 56.8 g
Rolada wieprzowa, 412 kcal, 21.1 g, 32.5 g, 10.0 g
Ryż biały, 344 kcal, 5.7 g, 0.7 g, 78.9 g
Ryż brązowy, 322 kcal, 7.1 g, 1.9 g, 76.8 g
Ryż na mleku, 66 kcal, 2.7 g, 2.1 g, 9.1 g
Ryż na sypko, 135 kcal, 2.4 g, 1.5 g, 28.4 g
Ryż preparowany, 361 kcal, 6.3 g, 1.6 g, 84.1 g
Ryż Zjabłkami, 152 kcal, 2.0 g, 2.1 g, 32.3 g
Rzepa, 26 kcal, 1.1 g, 0.3 g, 8.2 g
Rzodkiewka, 14 kcal, 1.0 g, 0.2 g, 4.4 g
Salami popularne, 568 kcal, 21.6 g, 53.7 g, 1.4 g
Salceson czarny, 336 kcal, 12.6 g, 32.0 g, 0.5 g
Salceson Włoski, 318 kcal, 14.6 g, 29.3 g, 0.0 g
Sałata, 14 kcal, 1.4 g, 0.2 g, 2.9 g
Sałata Zielona Z olejem, 55 kcal, 0.9 g, 4.7 g, 3.6 g
Sałata Zielona ze śmietaną, 40 kcal, 1.4 g, 2.3 g, 4.5 g
Sałatka jarzynowa Z maj., 192 kcal, 2.9 g, 16.5 g, 10.9 g
Sałatka Z czerW. kapusty, 83 kcal, 1.4 g, 6.5 g, 7.0 g
Sandacz świeży, 84 kcal, 19.2 g, 0.7 g, 0.0 g
Sardyna świeża, 169 kcal, 20.6 g, 9.6 g, 0.0 g
Sardyna W oleju, 221 kcal, 24.1 g, 13.9 g, 0.0 g
Sardyna W pomidorach, 162 kcal, 17.0 g, 9.9 g, 1.4 g
Sarnina, 102 kcal, 20.8 g, 1.9 g, 0.4 g
Schab pieczony, 291 kcal, 30.4 g, 18.7 g, 0.7 g
Schab surowy wieprzowy, 174 kcal, 21.0 g, 10.0 g, 0.0 g
Schab wędzony, 136 kcal, 25.0 g, 4.0 g, 0.0 g
Seler. korzeń, 21 kcal, 1.6 g, 0.3 g, 7.7 g
Seler. nać, 13 kcal, 1.0 g, 0.2 g, 3.6 g
Ser Bric pełnotłusty, 329 kcal, 19.8 g, 28.0 g, 0.2 g
Ser Camembert pełnotłusty, 291 kcal, 21.4 g, 23.0 g, 0.2 g
Ser Cheddar pełnotłusty, 391 kcal, 27.1 g, 23.4 g, 0.1 g
Ser Edamski tłusty, 313 kcal, 36.1 g, 23.4 g, 0.1 g
Ser Ementaler pełnotłusty, 380 kcal, 28.8 g, 29.7 g, 0.1 g
Ser Feta, 215 kcal, 17.0 g, 16.0 g, 1.0 g
Ser Gouda tłusty, 316 kcal, 27.9 g, 22.9 g, 0.1 g
Ser Myśliwski pełnotłusty, 346 kcal, 25.5 g, 27.4 g, 0.1 g
Ser Parmezan, 452 kcal, 41.5 g, 32.0 g, 0.1 g
Ser Rokpol pełnotłusty, 363 kcal, 15.8 g, 9.5 g, 2.0 g
Ser Salami pełnotłusty, 351 kcal, 25.2 g, 28.1 g, 0.1 g
Ser topiony edamski, 298 kcal, 13.5 g, 27.0 g, 1.2 g
Ser twarogowy chudy, 99 kcal, 19.8 g, 0.5 g, 3.5 g
Ser twarogowy półtłusty, 133 kcal, 18.7 g, 4.7 g, 3.7 g
Ser twarogowy tłusty, 175 kcal, 17.7 g, 10.1 g, 3.5 g
Ser Tylżycki pełnostłusty, 353 kcal, 26.1 g, 27.9 g, 0.1 g
Ser Tylżycki tłusty, 334 kcal, 27.8 g, 25.0 g, 0.1 g
Serca wieprzowe, 165 kcal, 16.9 g, 4.8 g, 0.0 g
Serek Fromage naturalny, 379 kcal, 10.2 g, 37.1 g, 2.4 g
Serek Fromage Z czosnkiem, 367 kcal, 10.0 g, 35.2 g, 4.0 g
Serek homogenizowany, 161 kcal, 12.7 g, 11.0 g, 3.0 g
Serek homog. truskawkowy, 168 kcal, 15.3 g, 3.9 g, 17.7 g
Serek homog. waniliowy, 159 kcal, 16.8 g, 4.2 g, 13.3 g
Serek twarogowy ziarnisty, 101 kcal, 12.3 g, 4.3 g, 3.3 g
Sernik krakowski, 325 kcal, 13.8 g, 13.4 g, 37.7 g
Sernik Wiedeński, 305 kcal, 12.5 g, 15.5 g, 31.5 g
Sernik Z rodzynkami, 333 kcal, 13.9 g, 13.4 g, 39.7 g
Serwatka płynna, 25 kcal, 0.8 g, 0.1 g, 5.1 g
Sezamki, 402 kcal, 10.2 g, 26.4 g, 34.7 g
Skrobia ziemniaczana, 343 kcal, 0.6 g, 0.1 g, 83.9 g
Słonecznik. nasiona, 561 kcal, 24.4 g, 43.7 g, 24.6 g
Słonina, 797 kcal, 2.4 g, 89.0 g, 0.0 g
Smalec, 880 kcal, 0.0 g, 99.5 g, 0.0 g
SoczeWica. suche nasiona, 327 kcal, 25.4 g, 3.0 g, 57.5 g
SoczeWica. kiełki, 119 kcal, 9.0 g, 0.6 g, 22.1 g
Soja. kiełki, 141 kcal, 13.1 g, 6.7 g, 9.6 g
Soja. suche nasiona, 382 kcal, 34.2 g, 19.6 g, 32.7 g
Sola świeża, 83 kcal, 17.5 g, 1.4 g, 0.0 g
Sok ananasowy, 48 kcal, 0.3 g, 0.1 g, 11.4 g
Sok cytrynowy, 30 kcal, 0.4 g, 0.3 g, 6.4 g
Sok grejpfrutowy, 40 kcal, 0.5 g, 0.1 g, 9.2 g
Sok jabłkowy, 42 kcal, 0.1 g, 0.1 g, 10.0 g
Sok marchW. erOSkW., 44 kcal, 0.5 g, 0.1 g, 11.3 g
Sok marchW. jabłk., 46 kcal, 0.5 g, 0.3 g, 12.3 g
Sok marchwiowy, 43 kcal, 0.4 g, 0.1 g, 11.3 g
Sok pomarańczowy, 43 kcal, 0.6 g, 0.1 g, 9.9 g
Sok pomidorowy, 13 kcal, 0.8 g, 0.1 g, 2.6 g
Sok Wielowarzywny, 25 kcal, 1.0 g, 0.3 g, 5.7 g
Sok Z czarnej porzeczki, 53 kcal, 0.3 g, 0.1 g, 12.7 g
Sprite. napój, 42 kcal, 0.0 g, 0.0 g, 10.5 g
Stek wieprzowy, 472 kcal, 21.7 g, 42.7 g, 1.5 g
Surówka Wielowarzywna Z jogurtem, 36 kcal, 1.7 g, 0.6 g, 7.0 g
Surówka Z cykorii ijabłek, 162 kcal, 1.0 g, 16.4 g, 3.8 g
Surówka Z kap. białej, 67 kcal, 1.6 g, 4.7 g, 7.0 g
Surówka Z kap. kwaszonej, 68 kcal, 0.9 g, 4.7 g, 7.5 g
Surówka Z kap. pekińskiej, 94 kcal, 1.6 g, 8.1 g, 6.0 g
Surówka Z marchwi i jabłek, 59 kcal, 1.0 g, 0.3 g, 16.5 g
Surówka Z ogórków i pomidorów, 32 kcal, 1.1 g, 1.8 g, 3.6 g
Surówka Z OWOCÓW, 102 kcal, 0.5 g, 0.3 g, 25.9 g
Surówka Z OWOCÓW i warzyw, 147 kcal, 1.1 g, 14.3 g, 5.1 g
Surówka Z papryki, 90 kcal, 1.0 g, 7.5 g, 6.3 g
Surówka Z pomidorów, 14 kcal, 0.8 g, 0.2 g, 14.0 g
Surówka Z poróW Z jabłkami, 140 kcal, 1.7 g, 12.5 g, 7.9 g
Surówka Z rzodkiewki, 93 kcal, 7.5 g, 3.5 g, 9.3 g
Surówka Z seleróW, 92 kcal, 1.1 g, 7.5 g, 8.9 g
Surówka Z seleróW. jabłka i marchwi, 60 kcal, 0.9 g, 0.4 g, 16.5 g
Syrop truskawkowy, 262 kcal, 0.2 g, 0.1 g, 62.0 g
Szampan półsłodki. alkohol, 97 kcal, 0.2 g, 0.0 g, 7.0 g
Szampan wytrawny, 83 kcal, 0.1 g, 0.0 g, 3.4 g
Szampan słodki, 117 kcal, 0.2 g, 0.0 g, 12.0 g
SzczaW, 21 kcal, 1.1 g, 0.8 g, 4.9 g
Szczupak świeży, 82 kcal, 18.4 g, 0.8 g, 0.0 g
Szczypiorek, 29 kcal, 4.1 g, 0.8 g, 3.9 g
Szparagi, 18 kcal, 1.9 g, 0.2 g, 3.7 g
Szpinak, 16 kcal, 2.6 g, 0.4 g, 3.0 g
Szpinak mrożony, 15 kcal, 2.3 g, 0.4 g, 2.7 g
Szpinak zasmażany, 83 kcal, 3.7 g, 6.1 g, 6.2 g
Sztuka mięsa wołowego, 224 kcal, 30.6 g, 10.3 g, 3.2 g
Szynka delikatesowa Z kurczaka, 123 kcal, 18.2 g, 5.6 g, 0.0 g
Szynka Wiejska, 253 kcal, 17.1 g, 20.3 g, 0.9 g
Szynka wieprzowa gotowana, 233 kcal, 16.4 g, 18.3 g, 1.0 g
Szynka wołowa gotowana, 107 kcal, 20.9 g, 2.0 g, 1.1 g
Szynka Z indyka, 84 kcal, 17.1 g, 1.6 g, 0.1 g
Szynka Z udka kurczaka, 117 kcal, 17.2 g, 5.3 g, 0.0 g
SzynkóWka wieprzowa, 191 kcal, 13.6 g, 14.7 g, 1.4 g
Śliwki, 45 kcal, 0.6 g, 0.2 g, 11.7 g
ŚliWki suszone, 267 kcal, 3.5 g, 1.2 g, 68.9 g
ŚliWki dżem niskosłodzony, 153 kcal, 0.3 g, 0.1 g, 37.9 g
ŚliWki dżem wysokosłodzony, 251 kcal, 0.3 g, 0.1 g, 62.1 g
ŚliWki. pOWidła, 214 kcal, 1.0 g, 0.2 g, 53.0 g
Śledź solony, 218 kcal, 19.8 g, 15.4 g, 0.0 g
Śledź świeży, 162 kcal, 16.3 g, 10.7 g, 0.0 g
Śledź W oleju. konserwa, 343 kcal, 19.7 g, 29.4 g, 0.0 g
Śledź W pomidorach. konserwa, 177 kcal, 13.7 g, 12.8 g, 1.8 g
Śmietana 12%, 133 kcal, 2.7 g, 12.0 g, 3.9 g
Śmietana 18%, 184 kcal, 2.5 g, 18.0 g, 3.6 g
Śmietanka do kawy 9%, 107 kcal, 2.8 g, 9.0 g, 4.0 g
Śmietanka kremowa 30%, 287 kcal, 2.2 g, 30.0 g, 3.1 g
Teatralny. wafel, 546 kcal, 8.0 g, 31.0 g, 58.0 g
Tic-tac. drażetki, 390 kcal, 0.0 g, 0.0 g, 97.5 g
Tłuszcz roślinny Planta, 900 kcal, 0.0 g, 100.0 g, 0.0 g
Toffifee. czekoladki, 535 kcal, 6.0 g, 31.0 g, 58.0 g
Tran, 900 kcal, 0.0 g, 100.0 g, 0.0 g
Truskawki, 28 kcal, 0.7 g, 0.4 g, 7.2 g
Truskawki W galaretce, 126 kcal, 15.4 g, 0.2 g, 16.0 g
Truskawki Z bitą śmietaną, 127 kcal, 1.1 g, 10.4 g, 8.4 g
Truskawki. dżem niskosłodzony, 153 kcal, 0.3 g, 0.2 g, 37.8 g
Truskawki. dżem wysokosłodzony, 252 kcal, 0.3 g, 0.2 g, 62.3 g
Tuńczyk W oleju, 190 kcal, 27.1 g, 9.0 g, 0.0 g
Tuńczyk W WOdZie, 96 kcal, 21.0 g, 1.2 g, 0.0 g
TWiX. baton, 487 kcal, 5.3 g, 23.2 g, 64.2 g
Udko Z kurczaka beZ skóry, 125 kcal, 17.8 g, 6.0 g, 0.0 g
Udko Z kurczaka ze skórą, 161 kcal, 17.8 g, 10.0 g, 0.0 g
UdZiec barani, 234 kcal, 18.0 g, 18.0 g, 0.0 g
UdZiec cielęcy, 108 kcal, 19.9 g, 3.1 g, 0.0 g
Wafle Familijne, 533 kcal, 7.1 g, 29.6 g, 59.5 g
Wafle Grześki, 550 kcal, 8.5 g, 34.5 g, 51.2 g
Wafle Kinder Bueno, 532 kcal, 5.5 g, 35.5 g, 47.6 g
Wafle nadziewane, 519 kcal, 8.3 g, 27.5 g, 60.7 g
Wafle Prince Polo, 534 kcal, 4.8 g, 31.5 g, 57.5 g
Wafle Princessa, 562 kcal, 4.1 g, 34.6 g, 58.4 g
Wafle Teatralne, 546 kcal, 8.0 g, 31.0 g, 58.0 g
Wafle W czekoladzie, 553 kcal, 7.4 g, 33.9 g, 55.6 g
Wasa. pieczywo chrupkie, 360 kcal, 12.0 g, 2.2 g, 73.0 g
Wątroba cielęca, 124 kcal, 19.2 g, 3.3 g, 4.1 g
Wątroba drobiowa, 136 kcal, 19.1 g, 6.3 g, 0.6 g
Wątroba wieprzowa, 130 kcal, 22.0 g, 3.4 g, 2.6 g
Wątroba wołowa, 125 kcal, 20.0 g, 3.1 g, 4.0 g
Wątróbka wieprzowa saute, 239 kcal, 20.5 g, 15.5 g, 4.9 g
Wermut. Wino, 104 kcal, 0.0 g, 0.0 g, 7.9 g
Wędzonka wołowa gotowana, 102 kcal, 17.8 g, 3.1 g, 0.5 g
Węgorz świeży, 281 kcal, 12.7 g, 25.6 g, 0.0 g
Węgorz wędzony, 326 kcal, 17.9 g, 28.6 g, 0.0 g
Whisky. alkohol, 225 kcal, 0.0 g, 0.0 g, 0.0 g
Wieprzowina duszona, 225 kcal, 11.4 g, 19.8 g, 1.2 g
Wieprzowina gotowana, 364 kcal, 22.6 g, 30.0 g, 3.1 g
Wieprzowina. boczek, 510 kcal, 10.1 g, 53.0 g, 0.0 g
Wieprzowina. golonka, 294 kcal, 18.6 g, 24.7 g, 0.0 g
